"Timestamp";"Vetronaviglio.F01#Energia attiva nel carico#kWh";"Vetronaviglio.F02#Energia attiva nel carico#kWh";"Vetronaviglio.F03#Energia attiva nel carico#kWh";"Vetronaviglio.F04#Energia attiva nel carico#kWh";"Vetronaviglio.F05#Energia attiva nel carico#kWh";"Vetronaviglio.F06#Energia attiva nel carico#kWh";"Vetronaviglio.F07#Energia attiva nel carico#kWh";"Vetronaviglio.F08#Energia attiva nel carico#kWh";"Vetronaviglio.F09#Energia attiva nel carico#kWh";"Vetronaviglio.F10#Energia attiva nel carico#kWh";"Vetronaviglio.F11#Energia attiva nel carico#kWh";"Vetronaviglio.ISOLA1#Energia attiva nel carico#kWh";"Vetronaviglio.M1030#Energia attiva nel carico#kWh";"Vetronaviglio.M1050#Energia attiva nel carico#kWh";"Vetronaviglio.MG5#Energia attiva nel carico#kWh";"Vetronaviglio.MG6#Energia attiva nel carico#kWh";"Vetronaviglio.MG7#Energia attiva nel carico#kWh";"Vetronaviglio.MG8#Energia attiva nel carico#kWh";"Vetronaviglio.MMAN#Energia attiva nel carico#kWh";"Vetronaviglio.MP1#Energia attiva nel carico#kWh";"Vetronaviglio.MP2#Energia attiva nel carico#kWh";"Vetronaviglio.MP3#Energia attiva nel carico#kWh";"Vetronaviglio.MP4#Energia attiva nel carico#kWh";"Vetronaviglio.Sycma#Energia attiva nel carico#kWh";"Vetronaviglio.TMPM2_TMPMI#Energia attiva nel carico#kWh";"Vetronaviglio.TMPMA1#Energia attiva nel carico#kWh";"Vetronaviglio.TROV#Energia attiva nel carico#kWh"
2026-01-01 00:05:00;4691,07;5728,4;7698,84;109192,43;13026,17;11236,84;12169,18;;3806,82;9282,86;;1228,98;13119,84;52,03;31141,9;20170,47;9381,56;7992,38;11795,49;;16942,87;;;676,4;102,31;147,82;4191,55
2026-01-01 00:10:00;4691,07;5728,4;7698,84;109192,43;13026,17;11236,84;12169,18;;3806,82;9282,86;;1228,98;13119,84;52,03;31141,9;20170,47;9381,56;7992,38;11795,49;;16942,87;;;676,4;102,31;147,82;4191,55
2026-01-01 00:15:00;4691,07;5728,4;7698,84;109192,44;13026,17;11236,84;12169,18;;3806,82;9282,86;;1228,98;13119,84;52,03;31141,9;20170,47;9381,56;7992,38;11795,49;;16942,87;;;676,4;102,31;147,82;4191,55
2026-01-01 00:20:00;4691,07;5728,4;7698,84;109192,44;13026,17;11236,84;12169,18;;3806,82;9282,86;;1228,98;13119,84;52,03;31141,9;20170,47;9381,56;7992,38;11795,49;;16942,87;;;676,4;102,31;147,82;4191,55
2026-01-01 00:25:00;4691,07;5728,4;7698,84;109192,44;13026,17;11236,84;12169,18;;3806,82;9282,86;;1228,98;13119,84;52,03;31141,9;20170,47;9381,56;7992,38;11795,49;;16942,87;;;676,4;102,31;147,82;4191,55
2026-01-01 00:30:00;4691,07;5728,4;7698,84;109192,44;13026,17;11236,84;12169,18;;3806,82;9282,86;;1228,98;13119,84;52,03;31141,9;20170,47;9381,56;7992,38;11795,49;;16942,87;;;676,4;102,31;147,82;4191,55
2026-01-01 00:35:00;4691,07;5728,4;7698,84;109192,45;13026,17;11236,84;12169,18;;3806,82;9282,86;;1228,98;13119,84;52,03;31141,9;20170,47;9381,56;7992,38;11795,49;;16942,87;;;676,4;102,31;147,82;4191,55
2026-01-01 00:40:00;4691,07;5728,4;7698,84;109192,45;13026,17;11236,84;12169,18;;3806,82;9282,86;;1228,98;13119,84;52,03;31141,9;20170,47;9381,56;7992,38;11795,49;;16942,87;;;676,4;102,31;147,82;4191,55
2026-01-01 00:45:00;4691,07;5728,4;7698,84;109192,45;13026,17;11236,84;12169,18;;3806,82;9282,86;;1228,98;13119,84;52,03;31141,9;20170,47;9381,56;7992,38;11795,49;;16942,87;;;676,4;102,31;147,82;4191,55
2026-01-01 00:50:00;4691,07;5728,4;7698,84;109192,45;13026,17;11236,84;12169,18;;3806,82;9282,86;;1228,98;13119,84;52,03;31141,9;20170,47;9381,56;7992,38;11795,49;;16942,87;;;676,4;102,31;147,82;4191,55
