"Timestamp";"Vetronaviglio.5001118029#Energia attiva nel carico#kWh";"Vetronaviglio.5001118029#Potenza attiva#kW"
2026-08-01 00:05:00;724795,78;95,87177
2026-08-01 00:10:00;724803,77;98,30682
2026-08-01 00:15:00;724811,8;94,05542
2026-08-01 00:20:00;724819,84;90,75057
2026-08-01 00:25:00;724827,85;93,22269
2026-08-01 00:30:00;724835,83;88,42117
2026-08-01 00:35:00;724843,84;89,02187
2026-08-01 00:40:00;724851,86;87,93742
2026-08-01 00:45:00;724859,93;93,01069
2026-08-01 00:50:00;724867,95;97,53961
2026-08-01 00:55:00;724875,75;93,47773
2026-08-01 01:00:00;724883,57;97,46311
2026-08-01 01:05:00;724891,38;101,1598
2026-08-01 01:10:00;724899,31;99,22534
2026-08-01 01:15:00;724907,29;99,25103
2026-08-01 01:20:00;724915,28;101,85431
2026-08-01 01:25:00;724923,23;99,12224
2026-08-01 01:30:00;724931,18;98,83815
2026-08-01 01:35:00;724939,06;98,12312
2026-08-01 01:40:00;724946,99;101,70572
2026-08-01 01:45:00;724954,87;95,74861
2026-08-01 01:50:00;724962,92;94,10137
2026-08-01 01:55:00;724970,88;94,67494
2026-08-01 02:05:00;724986,09;94,07073
2026-08-01 02:10:00;724992,51;72,07691
2026-08-01 02:15:00;724998,81;55,47683
2026-08-01 02:20:00;725005,87;80,74276
2026-08-01 02:25:00;725012,92;87,32104
2026-08-01 02:30:00;725019,96;88,41379
2026-08-01 02:35:00;725026,95;88,58816
2026-08-01 02:40:00;725033,93;88,31001
2026-08-01 02:45:00;725040,91;88,73288
2026-08-01 02:50:00;725048,1;89,93032
2026-08-01 02:55:00;725055,12;86,35525
2026-08-01 03:00:00;725061,97;85,79809
2026-08-01 03:05:00;725068,94;84,48779
2026-08-01 03:10:00;725075,35;68,53054
2026-08-01 03:15:00;725081,32;73,50699
2026-08-01 03:20:00;725087,08;80,75348
2026-08-01 03:25:00;725092,85;80,96132
2026-08-01 03:30:00;725098,3;73,05369
2026-08-01 03:35:00;725103,35;66,00236
2026-08-01 03:40:00;725108,58;67,59776
2026-08-01 03:45:00;725113,73;64,30581
2026-08-01 03:50:00;725119,1;58,68395
2026-08-01 03:55:00;725124,18;51,60959
2026-08-01 04:00:00;725129,21;44,91192
2026-08-01 04:05:00;725134,36;61,46542
2026-08-01 04:10:00;725139,26;70,64683
2026-08-01 04:15:00;725144,39;70,61798
2026-08-01 04:20:00;725149,49;69,59261
2026-08-01 04:25:00;725154,97;72,94612
2026-08-01 04:30:00;725160,31;59,11622
2026-08-01 04:35:00;725165,42;42,31173
2026-08-01 04:40:00;725170,62;59,14846
2026-08-01 04:45:00;725175,45;71,92306
2026-08-01 04:50:00;725180,7;70,34411
2026-08-01 04:55:00;725185,84;67,79758
2026-08-01 05:00:00;725191,05;54,58008
2026-08-01 05:05:00;725196,1;53,11338
2026-08-01 05:10:00;725201,1;52,44451
2026-08-01 05:15:00;725206,19;70,26783
2026-08-01 05:20:00;725211,78;71,55407
2026-08-01 05:25:00;725217,81;73,06319
2026-08-01 05:30:00;725223,66;61,22187
2026-08-01 05:35:00;725229,21;60,73736
2026-08-01 05:40:00;725234,37;73,62738
2026-08-01 05:45:00;725239,21;49,57247
2026-08-01 05:50:00;725244,46;52,06668
2026-08-01 05:55:00;725248,55;31,0828
2026-08-01 06:00:00;725249,5;10,84987
2026-08-01 06:05:00;725250,39;10,90417
2026-08-01 06:10:00;725251,08;8,34054
2026-08-01 06:15:00;725251,64;4,80919
2026-08-01 06:20:00;725252,02;4,56434
2026-08-01 06:25:00;725252,41;4,80076
2026-08-01 06:30:00;725252,7;3,26279
2026-08-01 06:35:00;725252,98;3,32507
2026-08-01 06:40:00;725253,25;3,29317
2026-08-01 06:45:00;725253,56;3,66728
2026-08-01 06:50:00;725253,85;3,37473
2026-08-01 06:55:00;725254,13;3,32484
2026-08-01 07:00:00;725254,42;3,60559
2026-08-01 07:05:00;725254,73;3,74348
2026-08-01 07:10:00;725255,01;3,23493
2026-08-01 07:15:00;725255,29;3,35209
2026-08-01 07:20:00;725255,59;3,7408
2026-08-01 07:25:00;725255,89;3,36474
2026-08-01 07:30:00;725256,16;3,23419
2026-08-01 07:35:00;725256,44;3,27721
2026-08-01 07:40:00;725256,74;3,51495
2026-08-01 07:45:00;725257,01;3,16547
2026-08-01 07:50:00;725257,28;3,22805
2026-08-01 07:55:00;725257,56;3,56026
2026-08-01 08:00:00;725257,86;3,61194
2026-08-01 08:05:00;725258,13;3,13504
2026-08-01 08:10:00;725258,39;3,06946
2026-08-01 08:15:00;725258,68;3,48767
2026-08-01 08:20:00;725258,95;3,14332
2026-08-01 08:25:00;725259,22;3,19783
2026-08-01 08:30:00;725259,62;5,51113
2026-08-01 08:35:00;725260,09;5,59036
2026-08-01 08:40:00;725260,53;5,3397
2026-08-01 08:45:00;725263,67;27,7687
2026-08-01 08:50:00;725265,63;24,35762
2026-08-01 08:55:00;725267,56;17,47895
2026-08-01 09:00:00;725270,26;35,67968
2026-08-01 09:05:00;725273,54;35,81474
2026-08-01 09:10:00;725277,18;44,74695
2026-08-01 09:15:00;725280,9;39,77476
2026-08-01 09:20:00;725284,61;45,08652
2026-08-01 09:25:00;725288,33;38,35461
2026-08-01 09:30:00;725292,04;44,95662
2026-08-01 09:35:00;725295,75;38,32185
2026-08-01 09:40:00;725299,6;45,68417
2026-08-01 09:45:00;725303,26;33,82676
2026-08-01 09:50:00;725307,1;45,56843
2026-08-01 09:55:00;725310,77;33,87491
2026-08-01 10:00:00;725313,07;27,73546
2026-08-01 10:05:00;725315,35;27,05347
2026-08-01 10:10:00;725317,62;27,44838
2026-08-01 10:15:00;725319,95;28,10188
2026-08-01 10:20:00;725322,28;27,93146
2026-08-01 10:25:00;725324,6;27,9174
2026-08-01 10:30:00;725326,91;27,74302
2026-08-01 10:35:00;725329,27;28,14732
2026-08-01 10:40:00;725331,62;28,04639
2026-08-01 10:45:00;725333,95;27,9578
2026-08-01 10:50:00;725336,31;28,58959
2026-08-01 10:55:00;725338,7;28,67863
2026-08-01 11:00:00;725341,07;28,49588
2026-08-01 11:05:00;725343,45;28,59463
2026-08-01 11:10:00;725345,89;29,38915
2026-08-01 11:15:00;725348,32;28,93124
2026-08-01 11:20:00;725350,74;29,00092
2026-08-01 11:25:00;725352,83;27,26377
2026-08-01 11:30:00;725353,32;5,87444
2026-08-01 11:35:00;725353,79;5,47877
2026-08-01 11:40:00;725354,25;5,66705
2026-08-01 11:45:00;725354,74;5,96548
2026-08-01 11:50:00;725355,42;7,97445
2026-08-01 11:55:00;725355,84;3,88607
2026-08-01 12:00:00;725356,11;3,57866
2026-08-01 12:05:00;725356,42;3,64408
2026-08-01 12:10:00;725356,68;3,04991
2026-08-01 12:15:00;725356,94;3,07325
2026-08-01 12:20:00;725357,23;3,5166
2026-08-01 12:25:00;725357,51;3,13486
2026-08-01 12:30:00;725357,77;3,16912
2026-08-01 12:35:00;725358,04;3,4792
2026-08-01 12:40:00;725358,33;3,50564
2026-08-01 12:45:00;725358,61;3,26365
2026-08-01 12:50:00;725358,87;3,17111
2026-08-01 12:55:00;725359,17;3,5288
2026-08-01 13:00:00;725359,46;3,19718
2026-08-01 13:05:00;725359,72;3,16006
2026-08-01 13:10:00;725360;3,61017
2026-08-01 13:15:00;725360,3;3,60793
2026-08-01 13:20:00;725360,58;3,28277
2026-08-01 13:25:00;725360,86;3,2603
2026-08-01 13:30:00;725361,16;3,72031
2026-08-01 13:35:00;725361,46;3,26618
2026-08-01 13:40:00;725361,72;3,26152
2026-08-01 13:45:00;725362;3,52864
2026-08-01 13:50:00;725362,3;3,509
2026-08-01 13:55:00;725362,57;3,24829
2026-08-01 14:00:00;725362,84;3,26375
2026-08-01 14:05:00;725363,15;3,56934
2026-08-01 14:10:00;725363,44;3,38667
2026-08-01 14:15:00;725363,72;3,25243
2026-08-01 14:20:00;725364;3,73999
2026-08-01 14:25:00;725364,31;3,64242
2026-08-01 14:30:00;725364,59;3,27127
2026-08-01 14:35:00;725364,86;3,27525
2026-08-01 14:40:00;725365,16;3,58603
2026-08-01 14:45:00;725365,45;3,55262
2026-08-01 14:50:00;725365,72;3,25987
2026-08-01 14:55:00;725365,99;3,19401
2026-08-01 15:00:00;725366,25;3,12506
2026-08-01 15:05:00;725366,53;3,38647
2026-08-01 15:10:00;725366,8;3,32243
2026-08-01 15:15:00;725367,09;3,34218
2026-08-01 15:20:00;725367,39;3,6618
2026-08-01 15:25:00;725367,7;3,71457
2026-08-01 15:30:00;725368;3,63561
2026-08-01 15:35:00;725368,28;3,18912
2026-08-01 15:40:00;725368,55;3,14336
2026-08-01 15:45:00;725368,85;3,71014
2026-08-01 15:50:00;725369,14;3,52519
2026-08-01 15:55:00;725369,42;3,24944
2026-08-01 16:00:00;725369,71;3,69879
2026-08-01 16:05:00;725370,02;3,68998
2026-08-01 16:10:00;725370,3;3,24946
2026-08-01 16:15:00;725370,57;3,31266
2026-08-01 16:20:00;725370,87;3,59265
2026-08-01 16:25:00;725371,18;3,65059
2026-08-01 16:30:00;725371,44;3,24765
2026-08-01 16:35:00;725371,73;3,61837
2026-08-01 16:40:00;725372,03;3,56655
2026-08-01 16:45:00;725372,31;3,1828
2026-08-01 16:50:00;725372,57;3,19232
2026-08-01 16:55:00;725372,87;3,77261
2026-08-01 17:00:00;725373,18;3,71623
2026-08-01 17:05:00;725373,47;3,39818
